"Estimand","Estimate (LB)","Estimate (UB)","CI (LB)","CI (UB)"
"ITT: outcome",0.0497683039851702,0.0497683039851702,0.00360434611661502,0.0959322618537253
"ITT: treatment",0.0641418822141705,0.0641418822141705,0.0150588391013215,0.113224925327019
"APR: Y,T,Z observed",0.0707323498419373,0.634288475751892,0.0288831766310776,0.660149208911365
"APR: Y,T and Y,Z observed",0.0707323498419373,0.783216783216781,0.0286340744095843,0.814327428071543
"APR: Y,Z observed",0.0707323498419373,1,0.0288024060541631,1
"LPR: Y,T,Z observed",0.806746790494387,0.806746790494387,0,1
"LPR: Y,T and Y,Z observed",0.775909628267467,1,0.00688488145488436,1
"LPR: Y,Z observed",0.0707323498419373,1,0.0288024060541631,1
"LATE",0.775909628267467,0.775909628267467,0,1
"LATE: Y,Z observed",0.0497683039851702,1,0.0194514847384699,1
"APR conditional on voting without treatment",0.0975126848336388,1,0.0433337611726282,1
