"Estimand","Not Vote for Unity","Vote for OVR"
"Avg between 0.4 and 0.6",0.397384689009756,0.125490617299843
"v = 0.40",0.497553210838506,0.00212745653560465
"v = 0.41",0.479761334184796,0.0141998346814576
"v = 0.42",0.462919482733507,0.0263734012648186
"v = 0.43",0.447123388480173,0.038634634456378
"v = 0.44",0.432462203816685,0.0509696688510101
"v = 0.45",0.419016981107251,0.0633643461194727
"v = 0.46",0.406859281917723,0.0758042680435179
"v = 0.47",0.39604996340968,0.0882748515269307
"v = 0.48",0.386638183601983,0.100761385147464
"v = 0.49",0.37866065901133,0.113249086792901
"v = 0.50",0.372141198090871,0.125723161909005
"v = 0.51",0.367090522535435,0.138168861878245
"v = 0.52",0.363506376658958,0.150571542046112
"v = 0.53",0.361373913451021,0.162916718916632
"v = 0.54",0.360666335319457,0.17519012605016
"v = 0.55",0.361345758549795,0.187377768214615
"v = 0.56",0.363364263624888,0.199465973365384
"v = 0.57",0.366665089022742,0.211441442058937
"v = 0.58",0.371183924021881,0.223291293939862
"v = 0.59",0.376850256280127,0.235003110980096
"v = 0.60",0.383588732248216,0.246564977191598
